runid,PC,value,batchid
B2V8841_BL_ADL_F__SRR25143965,Dim.1,152.443306263272,Kiel_EMSeq_MspI
B2V8841_BL_ADL_F__SRR25143965,Dim.2,201.743440227372,Kiel_EMSeq_MspI
B2V8841_BL_ADL_F__SRR25143965,Dim.3,-99.7553746737563,Kiel_EMSeq_MspI
B2V8841_BL_ADL_F__SRR25143965,Dim.4,78.4008600664696,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143972,Dim.1,136.220108618598,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143972,Dim.2,-27.6702312737316,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143972,Dim.3,-10.6790125937794,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143972,Dim.4,-208.940109369486,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143974,Dim.1,105.606298647267,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143974,Dim.2,-217.737084826251,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143974,Dim.3,-69.5863477584334,Kiel_EMSeq_MspI
B2X3498_BL_ADL_M__SRR25143974,Dim.4,102.870002979705,Kiel_EMSeq_MspI
B2X4825_BL_ADL_M__SRR10606826,Dim.1,-223.968854941557,Kiel_RRBS
B2X4825_BL_ADL_M__SRR10606826,Dim.2,9.97517650577277,Kiel_RRBS
B2X4825_BL_ADL_M__SRR10606826,Dim.3,-39.9247528447244,Kiel_RRBS
B2X4825_BL_ADL_M__SRR10606826,Dim.4,-7.72049965168976,Kiel_RRBS
B2X4825_BL_ADL_M__SRR10606843,Dim.1,-202.204376053663,Kiel_RRBS
B2X4825_BL_ADL_M__SRR10606843,Dim.2,12.0946228471124,Kiel_RRBS
B2X4825_BL_ADL_M__SRR10606843,Dim.3,-34.39250167106,Kiel_RRBS
B2X4825_BL_ADL_M__SRR10606843,Dim.4,-11.9100169021931,Kiel_RRBS
B2X4825_BL_ADL_M__SRR25143963,Dim.1,31.903517466083,Kiel_EMSeq_MspI
B2X4825_BL_ADL_M__SRR25143963,Dim.2,21.5940765197254,Kiel_EMSeq_MspI
B2X4825_BL_ADL_M__SRR25143963,Dim.3,254.337989541754,Kiel_EMSeq_MspI
B2X4825_BL_ADL_M__SRR25143963,Dim.4,47.2997628771945,Kiel_EMSeq_MspI
